custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,longten,tollfree,tollmon,tollten,equip,equipmon,equipten,callcard,cardmon,cardten,wireless,wiremon,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
0003-RLTRGE-IW2,Zone 1,"> 250,000",Male,52,50-64,October,11,Did not complete high school,Managerial and Professional,No,14,11 to 15,No,85,2,0.357,-1.030019497,1.343,0.294905918,No,Somewhat satisfied,Unmarried,Not married,Not married,1,2,2,0,0,0,0,0,0,Own,Single-family,29,More than 25,5,Own,Domestic,43.1,Luxury,No,No,Car,Single occupancy,27,Yes,No,No,No,No,No,No,No,No,No,No response,Moderate,No,No,No,American Express,Platinum,Cash back,No,15,11 to 15,Discover,Other,Cash back,No,14,11 to 15,6,445.4,2,114.7,No,Energy bar,31,Yes,11.55,380.35,Yes,18,554.75,No,0,0,Yes,9.25,255,Yes,21.45,621.9,No,No,No,Dial-up,Yes,Yes,Yes,No,No,Yes,20,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
0769-SEYBEV-38O,Zone 2,"50,000-249,999",Male,21,18-24,November,12,High school degree,Managerial and Professional,Yes,1,Less than 2,No,20,1.7,0.04522,-3.096215812,0.29478,-1.221525964,No,Highly dissatisfied,Married,9,Did not complete high school,4,3,0,1,0,0,0,0,2,,Single-family,2,Less than 3,1,Own,Domestic,9,Economy,Yes,No,Carpool,Multiple occupancy,24,No,No,Yes,No,Yes,No,No,No,No,No,No response,Moderate,No,Yes,Yes,Mastercard,Other,Other,Yes,3,2 to 5,Other,Other,Other,No,3,2 to 5,9,125.55,1,11.06,Yes,Energy bar,18,Yes,5.15,82.8,Yes,25.25,488.9,No,0,0,No,0,0,No,0,0,No,No,No,None,Yes,Yes,No,Yes,No,Yes,18,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No
2595-GKBUAC-XWF,Zone 1,"50,000-249,999",Female,64,50-64,January,8,Did not complete high school,"Operation, Fabrication, General Labor",No,29,More than 15,No,133,9.8,3.349738,1.208882134,9.684262,2.270502094,No,Highly satisfied,Unmarried,Not married,Not married,1,1,0,1,0,0,0,0,0,Own,Single-family,20,16 to 25,3,Own,Import,69.2,Luxury,No,No,Car,Single occupancy,21,Yes,No,No,Yes,No,No,No,No,Yes,No,Other,Conservative,No,Yes,Yes,Visa,Platinum,Cash back,No,25,More than 15,Mastercard,None,Other,Yes,17,More than 15,8,315.88,4,126.29,Yes,Oatmeal,46,No,12.8,565.75,No,0,0,No,0,0,Yes,19.5,910,No,0,0,No,No,No,None,No,No,No,Yes,No,Yes,24,Yes,Yes,Yes,,No,No,No,No,Yes,Yes,Yes,No
3300-SCKHBH-UBF,Zone 2,"2,500-9,999",Male,23,18-24,May,12,High school degree,"Operation, Fabrication, General Labor",Yes,3,2 to 5,No,28,6.4,0.715008,-0.335461548,1.076992,0.07417197,No,Highly dissatisfied,Unmarried,Not married,Not married,1,7,0,0,0,0,0,0,7,Rent,Multiple-Family,1,Less than 3,0,N/A,N/A,-1,N/A,N/A,Yes,Walk,Non-motorized,30,No,No,No,No,No,No,No,Yes,No,Yes,Convenience,Liberal,No,No,No,American Express,Other,Airline miles,No,6,6 to 10,Visa,Other,Other,No,6,6 to 10,5,207.55,5,114.81,No,Cereal,10,No,7.15,72.8,Yes,48.75,548.85,No,0,0,Yes,10.75,95,Yes,32.4,258.1,No,Yes,Yes,Cable modem,Yes,Yes,Yes,Yes,No,Yes,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
0982-KNZQRH-84Z,Zone 3,"> 250,000",,40,35-49,June,15,Some college,Managerial and Professional,No,2,2 to 5,No,33,10.7,0.780351,-0.248011461,2.750649,1.011836884,No,Somewhat dissatisfied,Married,15,Some college,4,18,0,4,0,1,0,5,8,Rent,Multiple-Family,11,8 to 15,2,Lease,Domestic,22.2,Standard,Yes,No,Car,Single occupancy,20,Yes,No,Yes,Yes,No,No,No,No,No,No,Prices,Slightly conservative,Yes,No,Yes,Discover,Gold,Airline miles,No,17,More than 15,Mastercard,Platinum,None,No,16,More than 15,18,373.29,3,40.78,Yes,Cereal,46,No,6.25,299.05,No,0,0,No,0,0,Yes,12.25,530,No,0,0,Yes,No,No,None,No,No,No,No,No,Yes,14,Yes,Yes,Yes,,No,No,No,No,Yes,No,No,No
3914-QCIBKN-54B,Zone 5,"2,500-9,999",Male,72,>65,September,10,Did not complete high school,Service,No,32,More than 15,No,88,29.2,9.918656,2.294417428,15.777344,2.758574987,No,Highly satisfied,Married,10,Did not complete high school,2,1,0,1,0,0,0,0,0,Own,Single-family,26,More than 25,0,N/A,N/A,-1,N/A,N/A,No,Walk,Non-motorized,30,No,No,No,No,No,No,No,Yes,No,No,No response,Extremely conservative,Yes,Yes,Yes,Mastercard,Platinum,Cash back,No,39,More than 15,American Express,None,Airline miles,No,29,More than 15,11,816.91,14,638.81,Yes,Energy bar,72,No,65.05,4687.7,No,0,0,No,0,0,Yes,40.75,2785,No,0,0,Yes,No,No,None,No,Yes,Yes,No,Yes,Yes,32,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
6730-HNVDWC-0WE,Zone 3,"> 250,000",,51,50-64,July,8,Did not complete high school,Service,No,15,11 to 15,No,52,11.3,1.974336,0.680232139,3.901664,1.361403129,No,Somewhat satisfied,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Rent,Single-family,13,8 to 15,1,Own,Domestic,33.3,Standard,Yes,No,Telecommute,Telecommute,21,No,No,No,No,No,No,No,Yes,No,Yes,No response,Moderate,No,Yes,No,Visa,Gold,Other,No,12,11 to 15,Other,Gold,Airline miles,No,10,6 to 10,7,110.37,4,61.48,Yes,Energy bar,43,No,5.3,206.25,Yes,23.25,902.2,No,0,0,Yes,23,965,No,0,0,No,No,No,None,Yes,Yes,No,Yes,No,Yes,21,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No
8712-BMUXQO-1OV,Zone 3,"2,500-9,999",Female,74,>65,February,7,Did not complete high school,Sales and Office,No,11,11 to 15,Yes,11,11.8,0.883938,-0.123368355,0.414062,-0.881739558,No,Neutral,Unmarried,Not married,Not married,1,2,2,0,0,0,0,0,0,Rent,Single-family,12,8 to 15,1,Own,Import,5.4,Economy,Yes,Yes,Bus,Public transportation,26,No,No,No,Yes,No,No,No,No,No,No,No response,Liberal,Yes,Yes,No,Visa,None,None,No,25,More than 15,Other,Gold,Airline miles,No,13,11 to 15,8,107.74,7,88.28,No,Oatmeal,41,No,9.3,365.4,No,0,0,No,0,0,Yes,27,1005,No,0,0,Yes,No,No,None,No,No,No,No,No,Yes,16,Yes,No,No,No,No,No,No,No,No,No,No,No
8786-EBXLMS-GTI,Zone 5,"2,500-9,999",Female,73,>65,April,20,Post-undergraduate degree,Managerial and Professional,No,18,More than 15,No,130,2.2,0.715,-0.335472736,2.145,0.763139552,No,Neutral,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Own,Single-family,26,More than 25,3,Own,Domestic,79,Luxury,Yes,No,Car,Single occupancy,23,Yes,No,No,No,No,No,No,Yes,No,No,Prices,Moderate,Yes,No,Yes,American Express,Gold,Cash back,No,14,11 to 15,Discover,Platinum,Airline miles,No,14,11 to 15,7,366.06,5,187.72,No,Oatmeal,34,No,12.9,464.4,Yes,31.25,1053.5,Yes,43.6,1388.4,Yes,16.25,510,Yes,38.35,1224.05,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
3491-OKPJLS-IP6,Zone 3,"< 2,500",Female,26,25-34,December,14,High school degree,Service,No,3,2 to 5,No,,8.6,0.98642,-0.013673052,2.19558,0.786446249,Yes,Neutral,Married,14,High school degree,3,1,1,0,0,0,0,0,0,Rent,Multiple-Family,4,4 to 7,1,Own,Import,19.2,Economy,No,No,Bus,Public transportation,29,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No response,Conservative,Yes,No,No,Discover,Gold,Other,Yes,8,6 to 10,Visa,Platinum,Cash back,No,8,6 to 10,12,492.94,6,206.55,Yes,Cereal,37,No,8.6,293.15,Yes,29.5,1150.8,No,0,0,Yes,16.25,565,No,0,0,No,No,No,None,Yes,Yes,No,Yes,No,Yes,21,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes
1581-ZCJWIG-F7G,Zone 3,"50,000-249,999",Female,38,35-49,September,12,High school degree,Service,No,10,6 to 10,No,33,7.7,0.670824,-0.399248471,1.870176,0.626032544,No,Highly dissatisfied,Married,12,High school degree,4,3,3,0,0,0,0,0,0,Rent,Multiple-Family,8,8 to 15,0,N/A,N/A,-1,N/A,N/A,Yes,Walk,Non-motorized,21,No,No,No,No,Yes,No,No,Yes,No,No,No response,Liberal,No,No,Yes,Other,None,None,No,20,More than 15,Mastercard,Platinum,None,No,21,More than 15,13,299.5,13,377.42,Yes,Cereal,64,No,20,1308.65,No,0,0,No,0,0,Yes,25,1585,No,0,0,Yes,No,No,None,No,No,No,No,No,Yes,22,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No
0538-YBYBTV-M73,Zone 3,"50,000-249,999",Female,25,25-34,September,20,Post-undergraduate degree,Sales and Office,Yes,0,Less than 2,No,40,8.4,1.18944,0.173482608,2.17056,0.774985199,Yes,Somewhat dissatisfied,Married,19,College degree,6,5,0,3,0,2,0,0,0,Own,Single-family,3,4 to 7,4,Own,Domestic,25.5,Standard,Yes,No,Car,Single occupancy,28,Yes,No,No,No,No,No,Yes,Yes,No,No,No response,Moderate,No,No,Yes,Discover,Other,None,No,8,6 to 10,Visa,None,Airline miles,Yes,7,6 to 10,5,91.59,1,20.29,Yes,Energy bar,26,Yes,7.55,196.5,Yes,16.75,470.95,Yes,50.85,1295.35,Yes,13.75,380,Yes,57.6,1433.1,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
2790-WKBKUI-SYH,Zone 5,"< 2,500",,26,25-34,August,12,High school degree,Service,No,4,2 to 5,No,,1.9,0.163172,-1.81295042,0.197828,-1.620357313,No,Neutral,Married,13,High school degree,3,0,0,0,0,0,0,0,0,Own,Mobile Home,6,4 to 7,3,Own,Import,10,Economy,No,Yes,Car,Single occupancy,30,Yes,No,No,No,Yes,No,No,No,No,No,Service,Moderate,Yes,No,No,Visa,None,Other,No,6,6 to 10,Discover,Platinum,Airline miles,No,8,6 to 10,10,200.28,6,134.71,Yes,Energy bar,28,Yes,7.05,224.45,No,0,0,No,0,0,No,0,0,No,0,0,No,No,No,Cable modem,No,Yes,No,No,Yes,Yes,26,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes
2197-RKAIUP-8RK,Zone 5,"< 2,500",Male,22,18-24,August,16,Some college,"Operation, Fabrication, General Labor",No,0,Less than 2,No,44,3,0.23628,-1.442737737,1.08372,0.080399567,Yes,Somewhat dissatisfied,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Own,Condominium/Townhouse,1,Less than 3,2,Lease,Import,24.7,Standard,Yes,No,Car,Single occupancy,48,Yes,No,No,Yes,No,No,No,No,No,No,No response,Slightly conservative,No,No,No,Visa,Other,Cash back,No,4,2 to 5,American Express,Other,Cash back,Yes,4,2 to 5,10,313.29,7,301.79,No,Energy bar,25,Yes,5.75,161.95,Yes,23,574.35,Yes,45.1,1056.2,Yes,21,480,Yes,34.55,757,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,21,Yes,Yes,Yes,,No,Yes,Yes,No,No,No,No,Yes
1791-IFXSVM-OM7,Zone 5,"50,000-249,999",Female,70,>65,March,13,High school degree,Sales and Office,No,10,6 to 10,Yes,9,14.6,0.66357,-0.41012093,0.65043,-0.430121596,No,Somewhat satisfied,Unmarried,Not married,Not married,1,2,0,2,0,0,0,0,0,Own,Mobile Home,35,More than 25,2,Own,Domestic,3.9,Economy,No,No,Car,Single occupancy,31,Yes,No,No,No,No,No,No,No,No,No,Prices,Slightly conservative,Yes,No,No,Other,Platinum,Airline miles,No,16,More than 15,Mastercard,Other,Airline miles,No,12,11 to 15,5,2279.253621,3,35.84,No,Oatmeal,48,No,12.15,619.35,No,0,0,No,0,0,Yes,30,1395,No,0,0,No,No,No,None,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No
0107-IFJBTR-1JZ,Zone 3,"> 250,000",Male,44,35-49,August,17,College degree,"Precision Production, Craft, Repair",Yes,19,More than 15,No,123,15.8,4.975104,1.604446275,14.458896,2.671309865,No,Neutral,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Rent,Multiple-Family,11,8 to 15,0,N/A,N/A,-1,N/A,N/A,Yes,Walk,Non-motorized,32,No,No,No,No,No,No,No,Yes,No,Yes,No response,Liberal,Yes,Yes,Yes,Mastercard,Platinum,Other,Yes,21,More than 15,American Express,Gold,Cash back,Yes,16,More than 15,11,143.62,4,81.24,No,Oatmeal,52,No,16,822.8,No,0,0,No,0,0,Yes,18.75,970,No,0,0,No,No,No,None,No,Yes,No,No,Yes,Yes,14,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No
8742-LWTONK-ER7,Zone 5,"10,000-49,999",Male,57,50-64,February,9,Did not complete high school,Sales and Office,No,11,11 to 15,No,54,12,1.5876,0.462223442,4.8924,1.587682981,No,Highly dissatisfied,Married,10,Did not complete high school,4,1,1,0,0,0,0,0,0,Own,Condominium/Townhouse,21,16 to 25,1,Own,Domestic,25.4,Standard,No,No,Train/Subway,Public transportation,27,No,No,No,Yes,Yes,No,No,No,No,No,No response,Liberal,Yes,No,Yes,Other,Platinum,Airline miles,No,8,6 to 10,Visa,Gold,Cash back,No,6,6 to 10,7,118.85,1,19.76,Yes,Oatmeal,27,No,3.7,92.45,Yes,21,551.25,No,0,0,Yes,21.5,555,No,0,0,No,No,No,None,Yes,Yes,Yes,Yes,No,Yes,21,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
7285-QIPKCQ-GAJ,Zone 3,"10,000-49,999",Male,29,25-34,May,20,Post-undergraduate degree,"Operation, Fabrication, General Labor",No,2,2 to 5,No,137,1.5,0.737745,-0.304157043,1.317255,0.275550026,No,Highly dissatisfied,Married,16,Some college,6,0,0,0,0,0,0,0,0,Own,Condominium/Townhouse,10,8 to 15,2,Own,Domestic,76.7,Luxury,No,No,Bus,Public transportation,19,No,No,No,Yes,Yes,No,No,No,No,No,No response,Moderate,No,No,Yes,American Express,None,Other,No,4,2 to 5,Discover,Other,None,No,8,6 to 10,18,3104.63,6,914.88,No,Cereal,7,No,4.8,29.25,Yes,33.75,230.1,Yes,51.4,342.25,Yes,32.5,195,Yes,62,365.9,Yes,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
3948-QYMTYJ-AWC,Zone 2,"< 2,500",,99,,June,16,Some college,Service,No,3,2 to 5,No,35,10.1,1.976065,0.681107494,1.558935,0.444002896,Yes,Somewhat satisfied,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,Own,Single-family,5,4 to 7,0,N/A,N/A,-1,N/A,N/A,Yes,Walk,Non-motorized,36,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No response,Moderate,No,No,Yes,Mastercard,Other,Cash back,No,2,2 to 5,Visa,None,Cash back,No,2,2 to 5,9,174.92,3,75.31,Yes,Cereal,3,Yes,3.45,11.85,Yes,20,55.1,Yes,39.8,71.15,Yes,27.25,40,Yes,26.55,59.4,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,31,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
5755-CQBOTL-4WI,Zone 1,"50,000-249,999",,45,35-49,November,12,High school degree,Sales and Office,No,10,6 to 10,No,38,4.7,0.171456,-1.763428605,1.614544,0.479052564,No,Highly dissatisfied,Unmarried,Not married,Not married,1,0,0,0,0,0,0,0,0,,Condominium/Townhouse,20,16 to 25,1,Own,Domestic,16.2,Economy,No,No,Bus,Public transportation,19,No,No,No,Yes,No,No,No,Yes,No,No,No response,Slightly liberal,Yes,No,Yes,Visa,Other,None,No,27,More than 15,Discover,Platinum,Other,No,20,More than 15,4,77.63,4,48.43,No,Energy bar,51,No,10,578.75,No,0,0,No,0,0,Yes,15.5,830,No,0,0,No,No,No,Dial-up,No,No,No,No,No,Yes,21,Yes,Yes,Yes,,Yes,No,No,No,Yes,No,No,No
7904-IFWZKG-GXM,Zone 4,"2,500-9,999",,51,50-64,January,21,Post-undergraduate degree,Sales and Office,No,3,2 to 5,No,218,6.1,0.239364,-1.429769873,13.058636,2.569449677,No,Somewhat dissatisfied,Married,17,College degree,5,8,0,0,0,2,0,0,6,Own,Single-family,26,More than 25,3,Own,Domestic,86.2,Luxury,Yes,No,Car,Single occupancy,31,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No response,Liberal,Yes,No,Yes,Discover,Platinum,None,No,13,11 to 15,American Express,None,Other,No,6,6 to 10,9,395.31,4,209.76,No,Cereal,14,Yes,4.4,54.95,Yes,21.75,305.4,Yes,54.4,670.4,Yes,14.5,180,Yes,60.85,785.65,Yes,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes,25,Yes,Yes,Yes,,Yes,No,Yes,Yes,No,No,No,Yes
6210-DHPOYZ-UQ7,Zone 4,"10,000-49,999",Female,64,50-64,September,15,Some college,Sales and Office,No,7,6 to 10,No,35,9.7,0.37345,-0.984971152,3.02155,1.105769945,No,Neutral,Unmarried,Not married,Not married,1,2,2,0,0,0,0,0,0,,Condominium/Townhouse,17,16 to 25,1,Own,Import,15.9,Economy,Yes,Yes,Bus,Public transportation,23,No,No,No,Yes,No,No,Yes,No,No,Yes,Prices,Slightly liberal,Yes,No,Yes,Mastercard,Gold,None,No,30,More than 15,Discover,None,Other,No,21,More than 15,4,61.72,0,0,No,Oatmeal,59,No,37.4,2163.65,Yes,54.5,3111.35,No,0,0,Yes,18.75,1050,Yes,46.35,2665.6,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,No,Yes,29,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No
4936-ZXVMAD-2BM,Zone 5,"< 2,500",,28,25-34,April,18,College degree,Sales and Office,No,2,2 to 5,No,33,4.2,0.303534,-1.192261648,1.082466,0.079241772,No,Somewhat dissatisfied,Unmarried,Not married,Not married,1,1,1,0,0,0,0,0,0,Rent,Single-family,6,4 to 7,2,Own,Domestic,16.2,Economy,No,No,Car,Single occupancy,25,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No response,Liberal,Yes,No,Yes,Discover,None,Airline miles,No,2,2 to 5,Other,Gold,Airline miles,No,3,2 to 5,11,270.15,2,37.4,No,Energy bar,5,No,3.2,7.05,No,0,0,No,0,0,No,0,0,No,0,0,No,No,No,None,No,No,No,No,No,Yes,25,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
6143-ZQRFPU-VAW,Zone 4,"> 250,000",Female,77,>65,June,12,High school degree,Managerial and Professional,No,17,More than 15,Yes,21,3.1,0.220038,-1.51395502,0.430962,-0.84173536,No,Highly satisfied,Unmarried,Not married,Not married,1,12,0,0,3,0,0,0,9,Own,Single-family,51,More than 25,3,Own,Domestic,6.4,Economy,No,No,Car,Single occupancy,33,Yes,No,No,No,No,No,No,No,No,No,No response,Liberal,No,No,No,Mastercard,None,Airline miles,Yes,37,More than 15,Discover,Other,Airline miles,No,24,More than 15,16,489.14,5,174.68,No,Oatmeal,70,No,14.25,1004.05,No,0,0,No,0,0,Yes,13.75,945,No,0,0,No,No,No,None,No,No,No,No,No,Yes,20,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
0133-TBTJGH-37J,Zone 3,"10,000-49,999",Male,66,>65,January,14,High school degree,Sales and Office,No,6,6 to 10,Yes,11,27.5,2.35345,0.855882337,0.67155,-0.398166806,Yes,Somewhat dissatisfied,Married,11,Did not complete high school,2,2,0,2,0,0,0,0,0,,Multiple-Family,16,16 to 25,4,Own,Import,8.2,Economy,No,No,Car,Single occupancy,27,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Convenience,Slightly conservative,No,Yes,No,Visa,None,Cash back,No,22,More than 15,Mastercard,Other,Other,No,17,More than 15,9,158.78,6,136.21,No,Oatmeal,51,No,10.55,529.3,No,0,0,Yes,28.75,1567.6,Yes,17.75,950,No,0,0,Yes,No,No,Cable modem,No,No,No,No,Yes,Yes,18,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
6250-LFTFQQ-LVV,Zone 3,"< 2,500",Female,23,18-24,December,15,Some college,Sales and Office,No,0,Less than 2,No,14,23,0.53452,-0.626386131,2.68548,0.987859483,Yes,Highly dissatisfied,Married,16,Some college,6,1,1,0,0,0,0,0,0,Own,Condominium/Townhouse,2,Less than 3,2,Own,Import,6.4,Economy,Yes,Yes,Bus,Public transportation,36,No,No,No,Yes,No,No,No,No,No,No,No response,Slightly liberal,No,Yes,No,Other,None,Cash back,No,2,2 to 5,Visa,Other,Airline miles,No,2,2 to 5,12,284.14,5,93.33,Yes,Cereal,3,No,1.3,3.05,No,0,0,No,0,0,No,0,0,No,0,0,No,No,No,Cable modem,No,No,No,No,Yes,Yes,13,No,No,No,No,Yes,No,Yes,No,No,No,No,No
6013-AOTWOI-QEC,Zone 1,"> 250,000",Male,99,,November,16,Some college,"Operation, Fabrication, General Labor",No,17,More than 15,No,91,1.1,0.45045,-0.797508196,0.55055,-0.5968375,No,Neutral,Married,16,Some college,2,0,0,0,0,0,0,0,0,Rent,Single-family,20,16 to 25,3,Own,Import,43.5,Luxury,Yes,No,Car,Single occupancy,25,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No response,Liberal,No,Yes,Yes,Discover,Platinum,None,No,15,11 to 15,Visa,Other,Cash back,Yes,13,11 to 15,8,393.42,3,171.2,No,Cereal,37,Yes,8.65,289.75,No,0,0,Yes,34.4,1340.75,No,0,0,No,0,0,Yes,No,No,DSL,No,No,No,No,Yes,Yes,25,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
8863-IGECRD-VXX,Zone 3,"> 250,000",Male,75,>65,August,11,Did not complete high school,Sales and Office,No,13,11 to 15,Yes,20,7,0.35,-1.049822124,1.05,0.048790164,No,Somewhat dissatisfied,Unmarried,Not married,Not married,1,3,1,0,2,0,0,0,0,Own,Condominium/Townhouse,39,More than 25,3,Lease,Domestic,11.5,Economy,Yes,No,Car,Single occupancy,23,Yes,No,No,No,No,No,No,No,No,No,No response,Moderate,No,Yes,No,Visa,Platinum,Other,No,36,More than 15,Other,Platinum,Other,No,28,More than 15,10,217.09,4,110.72,Yes,Oatmeal,72,No,29.45,2157.7,Yes,36.5,2595.65,No,0,0,Yes,53.75,3730,No,0,0,Yes,No,No,None,No,No,No,No,No,Yes,14,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
5313-ZRVTIG-3GU,Zone 3,"10,000-49,999",Female,99,,August,12,High school degree,Managerial and Professional,No,14,11 to 15,No,102,5.5,2.06448,0.724878379,3.54552,1.265684835,No,Somewhat dissatisfied,Unmarried,Not married,Not married,1,4,0,1,3,0,0,0,0,Own,Single-family,25,16 to 25,2,Own,Import,45.9,Luxury,Yes,Yes,Car,Single occupancy,39,Yes,No,No,No,Yes,No,No,No,No,No,Prices,Conservative,Yes,Yes,No,Discover,Platinum,Cash back,Yes,28,More than 15,Visa,None,Other,No,21,More than 15,13,526.8,9,322.6,No,Cereal,52,No,14.6,734.5,Yes,31.25,1619.45,Yes,38.05,1918.95,Yes,45.5,2415,No,0,0,Yes,No,No,None,Yes,Yes,Yes,Yes,No,Yes,14,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No
8807-PQIEDY-00D,Zone 2,"> 250,000",Male,35,35-49,April,15,Some college,Service,No,9,6 to 10,No,66,1.5,0.6534,-0.42556578,0.3366,-1.088859997,No,Highly satisfied,Married,15,Some college,3,0,0,0,0,0,0,0,0,Own,Single-family,11,8 to 15,3,Own,Import,30.7,Standard,Yes,No,Car,Single occupancy,20,Yes,No,No,No,No,No,No,No,No,No,No response,Slightly liberal,Yes,No,Yes,Discover,Other,None,No,16,More than 15,American Express,Platinum,None,No,15,11 to 15,7,396.76,3,156.31,No,Energy bar,55,No,7.75,421.2,Yes,16.75,865.75,No,0,0,Yes,4.25,210,No,0,0,Yes,No,No,None,No,Yes,No,No,No,Yes,19,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
0397-SGLLTF-HUD,Zone 1,"> 250,000",,99,,December,19,College degree,Managerial and Professional,Yes,0,Less than 2,No,,5.7,0.722304,-0.325309176,1.785696,0.579808255,Yes,Highly dissatisfied,Married,17,College degree,3,0,0,0,0,0,0,0,0,Own,Single-family,3,4 to 7,4,Own,Import,20.1,Standard,No,No,Car,Single occupancy,25,Yes,No,No,No,No,No,Yes,No,No,No,No response,Extremely liberal,No,Yes,Yes,Visa,None,Cash back,Yes,7,6 to 10,Mastercard,Platinum,Other,No,5,2 to 5,12,405.42,6,252.01,No,Energy bar,15,Yes,5.65,93.15,No,0,0,No,0,0,No,0,0,No,0,0,Yes,Yes,No,Other,No,No,No,No,Yes,Yes,24,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
8700-OICYFA-DCR,Zone 3,"> 250,000",Female,35,35-49,March,18,College degree,Sales and Office,No,0,Less than 2,No,44,17.1,0.722304,-0.325309176,6.801696,1.917171993,No,Somewhat dissatisfied,Unmarried,Not married,Not married,1,9,1,0,0,0,0,0,8,Rent,Multiple-Family,12,8 to 15,1,Own,Domestic,19.4,Economy,No,Yes,Carpool,Multiple occupancy,21,Yes,No,Yes,No,No,No,No,No,No,No,No response,Slightly liberal,No,No,Yes,Visa,Gold,Airline miles,No,10,6 to 10,Discover,Platinum,Airline miles,No,6,6 to 10,6,123.57,6,147.63,No,Cereal,24,Yes,7,175.8,No,0,0,Yes,35.1,767.4,No,0,0,No,0,0,Yes,No,No,Dial-up,No,No,Yes,No,Yes,Yes,22,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No
